tod	18
vuiceibu	18
vuicejīs	18
p	18
rēzne	18
latgali	18
zīmys	18
mīstā	18
osyuna	18
volūdom	17
dalīk	17
dorba	17
jezups	17
latgola	17
pyrmuos	17
pusē	17
myltu	17
t	17
davīnova	17
myuslaikūs	17
baltu	17
leluokais	17
vaidu	17
golvonais	17
pīters	17
doba	17
īstateits	17
gon	17
krystus	17
romys	17
īt	17
pūri	17
vuordim	17
felis	17
v	17
byutu	17
gali	17
tuoļuok	17
vīnu	17
centrā	17
centra	17
runoj	17
kumbuļa	16
plīkšni	16
pošā	16
reitulatvejis	16
svātuo	16
leluokuo	16
apleicinī	16
niu	16
iudinī	16
volūdai	16
muokslys	16
vys	16
apleicīnē	16
jauna	16
zemnīku	16
diveju	16
sative	16
pīminieklis	16
dzymuse	16
oficialuo	16
pusis	16
koč	16
cytim	16
staceja	16
vysa	16
nūtyka	16
sovys	16
augstainē	16
pīmāram	16
tradicionals	16
pastateja	16
anna	16
roksta	16
īstots	16
mīstu	16
sīra	15
xix	15
guļbinis	15
laiku	15
goldam	15
latgaliskai	15
buļbu	15
maizis	15
azarā	15
amerikā	15
dorbu	15
tīseibys	15
vokorūs	15
aiz	15
dzymuši	15
indreicys	15
peisi	15
datim	15
mudovys	15
kara	15
kam	15
tautu	15
folklora	15
e	15
latiņu	15
vītuos	15
vairuok	15
norvegeja	15
sielejis	15
universitetā	15
nakod	15
škeļtiņu	15
mežuoris	15
jūrdža	15
jūrdžs	15
ituos	15
lels	15
raisteibys	15
dreiži	15
īstateita	15
blontu	15
sasadorūšs	15
pīrakstejs	15
suoļa	15
škīznys	15
pavasara	14
prezidents	14
tān	14
škilbānu	14
to	14
oleja	14
pasaceļ	14
leidumnīku	14
himnys	14
muzejs	14
rundānu	14
školu	14
vuordi	14
kurā	14
kūka	14
treis	14
ordyna	14
zeimoj	14
ūtrais	14
vāluok	14
iudiņs	14
švedejis	14
vosorys	14
kolkoza	14
upeitis	14
sistema	14
sagrīž	14
dīnu	14
filologejis	14
pamatškolā	14
nūruodis	14
atmeja	14
raksteit	14
pret	14
meža	14
vikipedejis	14
akmiņa	14
ailinīks	14
tam	14
lopu	14
mežavydu	14
vard	13
augstainis	13
myusu	13
naviņ	13
net	13
sokolku	13
zemu	13
kūna	13
ezs	13
reižu	13
sātys	13
praņcīšu	13
zineibu	13
školā	13
saimisteibys	13
izīt	13
latgales	13
beiguos	13
vysys	13
darbeibys	13
galis	13
juleja	13
modyunis	13
nav	13
aiļu	13
puorlaida	13
darbeiba	13
jezus	13
ii	13
neicgaļa	13
cytom	13
ūtruo	13
padūd	13
cukra	13
cyukys	13
rūbeža	13
parapejai	13
ņukšu	13
ītak	13
vītys	13
nacionaluo	13
dalis	13
ituo	13
no	13
andryvs	13
latiņamerikā	13
perekli	13
stacejis	13
dale	13
celim	13
trasuns	13
atašinis	13
dzeivis	13
norvegejis	13
bazneicu	12
myuslaiku	12
ļaun	12
iztak	12
škaunys	12
švedu	12
medņovys	12
symta	12
bārnu	12
kolnu	12
mienešim	12
ceļa	12
svareņu	12
grupys	12
leldīnis	12
saroksts	12
školys	12
trešuo	12
lītne	12
jiura	12
kods	12
konstaņtinovys	12
nierzys	12
the	12
kurū	12
rakstejs	12
pīgatave	12
tūs	12
reizis	12
kaunotys	12
iudiņtveris	12
objekts	12
rudiņa	12
drupeit	12
boltkrīvejis	12
rakstinīks	12
itei	12
institutā	12
samu	12
pošvolds	12
pīna	12
vaļsteibuos	12
autors	12
partejis	12
pūstinis	12
f	12
ceļu	12
afrikys	12
kačs	12
informacejis	12
norvegu	12
itymā	12
itys	12
valna	12
krīveju	12
daīt	12
žydu	12
pošys	12
mirs	12
biznesa	12
augstumam	12
atmejis	12
sporta	12
teiču	12
natuoli	12
zynoms	11
k	11
sova	11
sīnuoja	11
švedeja	11
vydsškolā	11
vydsškola	11
vysim	11
gona	11
vaļstiskuos	11
pasauku	11
danejis	11
latgaliskuos	11
apleice	11
marta	11
latgalim	11
dīnuos	11
sataisa	11
ītaku	11
latgolu	11
poezejis	11
laikrokstā	11
aizjam	11
ciļviecis	11
deputats	11
zamainis	11
zeimeigs	11
olūti	11
sīna	11
dorbi	11
bolss	11
pīsadaleja	11
samārā	11
kaleņderim	11
dzīšmu	11
biblioteku	11
darbeibu	11
gruomotā	11
pastateita	11
biografeja	11
janvara	11
instituta	11
puors	11
protokols	11
parks	11
oficialai	11
dzymtuo	11
n	11
seviški	11
laikvuordu	11
padūmis	11
dzeivuojs	11
kaupris	11
ni	11
andryva	11
vydyskai	11
nakai	11
tiļžys	11
rakstīņu	11
zeimeibā	11
car	11
klimats	11
līvu	11
latgale	11
roksts	11
fakuļtetu	11
dabuojs	10
muzykys	10
gruoveru	10
leiksnys	10
nivīna	10
maja	10
speidyns	10
rudzu	10
radeja	10
seimaņu	10
zeimeigu	10
beringa	10
tierdzeibys	10
natur	10
itamā	10
process	10
procesu	10
pruottelefonu	10
kanalu	10
škola	10
bīži	10
molys	10
puorsauce	10
saitys	10
miglinīks	10
slyšāns	10
formu	10
es	10
zam	10
taišni	10
dalejums	10
bīdreiba	10
greku	10
sāklys	10
geografeja	10
izaškir	10
azarmalē	10
ribinišku	10
smolkai	10
taids	10
aug	10
tekstu	10
upu	10
janina	10
gruomota	10
vaļstiskuo	10
suoku	10
byus	10
mozuok	10
cylvāks	10
godus	10
arhitekturys	10
svātki	10
lelakmiņs	10
vuocejis	10
pili	10
pošvolda	10
der	10
lelys	10
apleik	10
dasys	10
saimē	10
apjam	10
vjl	10
vuordam	10
parka	10
putnu	10
igaunejā	10
sadorā	10
kepovys	10
informaceju	10
lubuona	10
apreļa	10
eistyn	10
ombumuižys	10
kulturu	10
akademejis	10
ūtrys	10
mūrmastinis	10
zamaine	10
purynu	10
juņa	10
temperatura	10
c	10
mpls	10
vysod	10
tiemej	9
sīrs	9
laiks	9
dziļums	9
augstuo	9
cyta	9
zīdi	9
pīvadumi	9
s	9
psrs	9
as	9
vuocu	9
kaitys	9
periodikā	9
vaļdeibu	9
tyukstūšys	9
daškierts	9
vuorkovys	9
cik	9
caracal	9
nūlīgtiņs	9
dzeļžaceļš	9
saļņovys	9
sarokstā	9
ūlu	9
puorlaidys	9
savīneibā	9
virīņs	9
politiks	9
žurnalā	9
dybyns	9
otkon	9
upmalis	9
teatra	9
ītaka	9
katōļu	9
borkovys	9
vadeituojs	9
limbažu	9
seņuok	9
forma	9
daudzejis	9
bieržu	9
